student_id,exam_type,grade,sub_segment,vle_total_clicks,avg_focus_duration_mins,phone_distraction_10min_count,parent_report_open_rate,assessment_avg_score,late_submission_ratio,anxiety_survey_score,night_study_ratio,churn_90d
STU_10030,YKS_TYT_AYT,12,Telefonla Dağılan,613,26.3,10,0.48,45.4,0.29,6.9,0.64,0
STU_10031,LGS,8,Geceye Kayan,569,41.4,5,0.64,69.1,0.67,6.9,0.81,0
STU_10032,LGS,8,Geceye Kayan,423,34.5,7,0.61,81.5,0.23,3.9,0.91,1
STU_10033,YKS_TYT_AYT,Mezun,Başlayamayan,147,9.4,0,0.15,51.9,0.82,7.7,0.2,0
STU_10034,YKS_TYT_AYT,12,Başlayamayan,57,12.6,3,0.44,45.5,0.87,5.3,0.34,0
STU_10035,YKS_TYT_AYT,11,Yarıda Bırakan,227,12.5,4,0.47,44.0,0.48,5.8,0.27,0
STU_10036,LGS,8,Telefonla Dağılan,437,30.0,4,0.75,66.7,0.6,4.4,0.32,0
STU_10037,LGS,8,Geceye Kayan,509,50.2,2,0.4,63.5,0.45,7.1,0.79,0
STU_10038,YKS_TYT_AYT,Mezun,Yarıda Bırakan,251,16.7,1,0.42,40.6,0.57,5.6,0.41,1
STU_10039,YKS_TYT_AYT,11,Telefonla Dağılan,545,21.2,6,0.57,67.2,0.18,4.0,0.56,0
STU_10040,LGS,8,Başlayamayan,161,16.9,1,0.32,44.5,0.66,3.1,0.26,0
STU_10041,YKS_TYT_AYT,Mezun,Kaygıyla Erteleyen,472,23.1,2,0.73,65.2,0.96,8.4,0.1,0
STU_10042,LGS,8,Geceye Kayan,628,44.2,1,0.51,69.5,0.68,3.1,0.92,0
STU_10043,YKS_TYT_AYT,12,Yarıda Bırakan,314,11.8,3,0.2,66.5,0.53,4.1,0.26,0
STU_10044,LGS,8,Telefonla Dağılan,419,28.8,4,0.38,71.2,0.42,5.5,0.87,1
STU_10045,YKS_TYT_AYT,11,Başlayamayan,84,16.5,3,0.63,58.4,0.59,7.8,0.34,0
STU_10046,LGS,8,Telefonla Dağılan,297,23.8,5,0.57,69.1,0.16,6.8,0.73,1
STU_10047,YKS_TYT_AYT,11,Telefonla Dağılan,670,30.6,7,0.63,38.9,0.51,4.9,0.26,0
STU_10048,YKS_TYT_AYT,12,Başlayamayan,90,9.0,3,0.53,23.5,0.73,7.4,0.15,0
STU_10049,LGS,8,Yarıda Bırakan,189,12.1,0,0.38,56.9,0.68,4.4,0.15,0
STU_10050,YKS_TYT_AYT,12,Yarıda Bırakan,320,21.3,1,0.58,47.9,0.22,3.1,0.59,1
STU_10051,YKS_TYT_AYT,Mezun,Telefonla Dağılan,616,29.6,4,0.48,63.0,0.35,4.2,0.39,0
STU_10052,YKS_TYT_AYT,12,Telefonla Dağılan,578,15.8,7,0.9,62.5,0.44,4.1,0.46,1
STU_10053,YKS_TYT_AYT,12,Başlayamayan,207,9.0,3,0.59,64.7,0.67,5.2,0.62,1
STU_10054,YKS_TYT_AYT,11,Kaygıyla Erteleyen,246,12.9,3,0.75,77.5,0.8,7.9,0.07,0
STU_10055,YKS_TYT_AYT,12,Telefonla Dağılan,483,18.1,6,0.63,65.1,0.61,5.2,0.33,1
STU_10056,LGS,8,Yarıda Bırakan,223,20.2,1,0.24,54.5,0.39,5.2,0.43,1
STU_10057,LGS,8,Başlayamayan,111,9.0,1,0.37,60.6,0.87,6.1,0.2,1
STU_10058,LGS,8,Kaygıyla Erteleyen,235,38.0,2,0.85,90.5,0.84,8.5,0.35,1
STU_10059,LGS,8,Geceye Kayan,539,47.8,2,0.68,71.9,0.54,6.7,0.67,0
STU_10060,LGS,8,Yarıda Bırakan,141,11.6,3,0.72,47.7,0.76,6.5,0.3,1
STU_10061,LGS,8,Yarıda Bırakan,201,8.5,5,0.67,54.4,0.46,4.7,0.59,0
STU_10062,YKS_TYT_AYT,12,Başlayamayan,70,17.0,0,0.17,56.0,0.54,7.9,0.15,1
STU_10063,LGS,8,Telefonla Dağılan,304,23.4,6,0.66,58.2,0.79,3.9,0.33,1
STU_10064,LGS,8,Başlayamayan,93,13.7,2,0.15,39.3,0.8,8.1,0.1,0
STU_10065,YKS_TYT_AYT,12,Yarıda Bırakan,270,7.0,4,0.16,64.9,0.62,4.7,0.52,1
STU_10066,LGS,8,Telefonla Dağılan,625,19.1,4,0.65,68.2,0.44,6.3,0.7,1
STU_10067,YKS_TYT_AYT,11,Telefonla Dağılan,796,17.4,9,0.47,59.5,0.4,2.3,0.88,0
STU_10068,LGS,8,Yarıda Bırakan,240,13.0,5,0.29,64.3,0.62,6.3,0.05,1
STU_10069,YKS_TYT_AYT,12,Yarıda Bırakan,258,14.9,3,0.64,49.5,0.84,4.4,0.28,1
STU_10070,YKS_TYT_AYT,12,Telefonla Dağılan,478,19.0,6,0.35,51.1,0.53,2.8,0.4,1
STU_10071,LGS,8,Başlayamayan,101,19.0,1,0.64,56.1,0.66,8.5,0.55,0
STU_10072,LGS,8,Başlayamayan,46,12.3,2,0.07,48.4,0.6,4.1,0.58,1
STU_10073,YKS_TYT_AYT,12,Geceye Kayan,658,36.0,7,0.72,87.8,0.5,5.1,0.67,1
STU_10074,YKS_TYT_AYT,12,Başlayamayan,79,12.4,1,0.05,45.3,0.87,7.3,0.29,0
STU_10075,YKS_TYT_AYT,12,Telefonla Dağılan,439,32.4,2,0.59,70.2,0.24,5.0,0.93,0
STU_10076,YKS_TYT_AYT,Mezun,Geceye Kayan,687,35.4,8,0.56,81.5,0.19,2.6,0.99,1
STU_10077,LGS,8,Yarıda Bırakan,251,14.0,5,0.8,59.5,0.66,5.9,0.25,0
STU_10078,LGS,8,Yarıda Bırakan,196,12.0,2,0.3,51.0,0.29,6.1,0.36,0
STU_10079,LGS,8,Telefonla Dağılan,533,25.3,5,0.21,46.4,0.28,3.6,0.59,0
STU_10080,YKS_TYT_AYT,12,Geceye Kayan,569,38.0,2,0.53,84.8,0.51,5.4,0.86,1
STU_10081,YKS_TYT_AYT,12,Geceye Kayan,619,46.5,3,0.6,89.8,0.04,5.7,0.84,0
STU_10082,LGS,8,Telefonla Dağılan,666,21.1,8,0.65,76.5,0.5,5.3,0.59,1
STU_10083,LGS,8,Başlayamayan,175,11.2,1,0.17,62.3,0.94,3.9,0.55,0
STU_10084,LGS,8,Telefonla Dağılan,558,20.1,5,0.58,55.7,0.53,3.6,0.61,0
STU_10085,LGS,8,Yarıda Bırakan,247,13.3,1,0.22,68.9,0.4,4.9,0.14,1
STU_10086,YKS_TYT_AYT,Mezun,Telefonla Dağılan,448,22.9,5,0.42,68.4,0.39,4.3,0.67,0
STU_10087,YKS_TYT_AYT,12,Başlayamayan,105,16.0,2,0.65,57.5,0.63,8.0,0.45,1
STU_10088,YKS_TYT_AYT,12,Başlayamayan,161,20.0,0,0.25,31.1,0.5,7.6,0.31,0
STU_10089,YKS_TYT_AYT,12,Kaygıyla Erteleyen,269,33.0,2,0.76,77.7,0.77,10.0,0.36,0
STU_10090,LGS,8,Yarıda Bırakan,181,13.4,3,0.3,48.4,0.39,3.3,0.35,1
STU_10091,YKS_TYT_AYT,12,Yarıda Bırakan,153,30.7,1,0.65,65.1,0.4,5.7,0.3,0
STU_10092,YKS_TYT_AYT,12,Yarıda Bırakan,345,20.3,2,0.45,57.4,0.76,4.9,0.37,1
STU_10093,YKS_TYT_AYT,11,Kaygıyla Erteleyen,217,25.1,1,0.77,73.7,0.97,8.3,0.47,1
STU_10094,YKS_TYT_AYT,12,Telefonla Dağılan,613,16.0,4,0.42,82.0,0.77,2.6,0.39,0
STU_10095,YKS_TYT_AYT,12,Yarıda Bırakan,246,15.7,2,0.54,71.8,0.41,6.7,0.38,1
STU_10096,YKS_TYT_AYT,12,Başlayamayan,136,5.8,2,0.56,52.8,0.51,7.1,0.55,1
STU_10097,YKS_TYT_AYT,11,Yarıda Bırakan,231,19.5,0,0.59,50.4,0.2,4.1,0.53,0
STU_10098,LGS,8,Geceye Kayan,552,44.8,2,0.48,75.5,0.14,6.5,0.84,1
STU_10099,LGS,8,Telefonla Dağılan,396,27.6,3,0.69,71.0,0.61,4.9,0.59,0
STU_10100,LGS,8,Telefonla Dağılan,519,27.3,3,0.58,71.5,0.51,3.9,0.32,0
STU_10101,YKS_TYT_AYT,12,Telefonla Dağılan,656,27.8,11,0.8,62.5,0.11,3.4,0.44,1
STU_10102,LGS,8,Yarıda Bırakan,249,18.3,4,0.52,73.0,0.18,6.4,0.18,0
STU_10103,YKS_TYT_AYT,12,Kaygıyla Erteleyen,285,31.3,1,0.65,53.5,0.86,8.9,0.51,0
STU_10104,YKS_TYT_AYT,11,Telefonla Dağılan,479,21.8,8,0.74,70.3,0.64,6.4,0.32,0
STU_10105,LGS,8,Başlayamayan,170,9.3,0,0.27,49.3,0.48,7.7,0.31,0
STU_10106,LGS,8,Başlayamayan,82,19.5,3,0.07,44.9,0.89,5.4,0.33,1
STU_10107,YKS_TYT_AYT,12,Telefonla Dağılan,421,17.8,4,0.56,68.2,0.43,3.6,0.4,1
STU_10108,LGS,8,Geceye Kayan,533,42.1,3,0.83,75.9,0.42,4.6,0.89,0
STU_10109,LGS,8,Yarıda Bırakan,404,13.2,3,0.36,51.9,0.29,4.5,0.22,1
STU_10110,LGS,8,Kaygıyla Erteleyen,334,27.5,3,0.88,77.2,0.93,8.5,0.28,0
STU_10111,LGS,8,Kaygıyla Erteleyen,282,30.3,3,0.68,56.8,0.93,8.6,0.36,0
STU_10112,YKS_TYT_AYT,12,Yarıda Bırakan,214,18.2,3,0.23,49.1,0.27,2.0,0.49,0
STU_10113,YKS_TYT_AYT,12,Başlayamayan,173,9.4,3,0.19,38.9,0.28,4.6,0.11,1
STU_10114,YKS_TYT_AYT,Mezun,Başlayamayan,160,16.3,1,0.16,70.6,0.73,6.5,0.58,0
STU_10115,YKS_TYT_AYT,12,Telefonla Dağılan,509,12.5,11,0.61,51.1,0.43,6.0,0.58,0
STU_10116,YKS_TYT_AYT,12,Başlayamayan,62,18.5,1,0.21,49.8,0.87,7.5,0.27,0
STU_10117,LGS,8,Yarıda Bırakan,208,21.0,3,0.37,42.2,0.3,5.2,0.5,0
STU_10118,YKS_TYT_AYT,11,Telefonla Dağılan,540,20.5,4,0.87,79.3,0.25,4.2,0.62,0
STU_10119,YKS_TYT_AYT,12,Telefonla Dağılan,377,14.4,4,0.66,64.4,0.35,5.8,0.37,0
STU_10120,YKS_TYT_AYT,11,Başlayamayan,105,19.6,1,0.38,43.1,0.95,7.4,0.36,0
STU_10121,YKS_TYT_AYT,12,Yarıda Bırakan,354,17.3,3,0.23,43.7,0.63,5.3,0.1,0
STU_10122,LGS,8,Telefonla Dağılan,423,19.4,7,0.75,54.1,0.41,7.6,0.67,1
STU_10123,LGS,8,Telefonla Dağılan,433,9.1,8,0.72,61.1,0.29,3.7,0.44,1
STU_10124,LGS,8,Kaygıyla Erteleyen,605,31.4,2,0.65,41.0,0.8,9.8,0.21,0
STU_10125,YKS_TYT_AYT,12,Başlayamayan,94,9.8,0,0.32,43.9,0.55,7.9,0.2,0
STU_10126,YKS_TYT_AYT,12,Kaygıyla Erteleyen,185,23.1,0,0.72,84.5,0.57,8.9,0.26,0
STU_10127,YKS_TYT_AYT,11,Telefonla Dağılan,407,30.9,8,0.57,50.0,0.43,6.2,0.24,0
STU_10128,LGS,8,Telefonla Dağılan,615,36.9,5,0.78,49.6,0.37,3.6,0.19,1
STU_10129,YKS_TYT_AYT,12,Telefonla Dağılan,504,12.2,5,0.84,46.7,0.34,4.5,0.43,1
STU_10130,LGS,8,Yarıda Bırakan,178,13.7,2,0.42,47.2,0.6,5.8,0.5,1
STU_10131,LGS,8,Başlayamayan,60,13.6,1,0.45,33.5,0.91,4.6,0.28,1
STU_10132,LGS,8,Telefonla Dağılan,471,29.0,7,0.51,60.9,0.49,6.0,0.52,0
STU_10133,LGS,8,Telefonla Dağılan,634,12.7,5,0.7,72.1,0.75,2.5,0.2,1
STU_10134,YKS_TYT_AYT,11,Telefonla Dağılan,554,20.4,2,0.73,59.6,0.27,3.9,0.8,1
STU_10135,LGS,8,Yarıda Bırakan,243,21.8,4,0.07,49.0,0.15,5.2,0.64,1
STU_10136,YKS_TYT_AYT,11,Geceye Kayan,406,28.2,5,0.5,81.1,0.28,2.6,0.89,0
STU_10137,YKS_TYT_AYT,12,Telefonla Dağılan,493,18.6,7,0.62,67.6,0.34,3.6,0.5,0
STU_10138,LGS,8,Başlayamayan,40,7.6,1,0.4,43.7,0.7,4.3,0.2,0
STU_10139,YKS_TYT_AYT,12,Yarıda Bırakan,224,13.3,3,0.44,76.6,0.18,6.5,0.52,1
STU_10140,YKS_TYT_AYT,12,Kaygıyla Erteleyen,524,19.3,1,0.43,48.0,0.85,8.5,0.53,0
STU_10141,LGS,8,Kaygıyla Erteleyen,426,28.3,2,0.71,58.7,0.92,7.8,0.19,0
STU_10142,YKS_TYT_AYT,Mezun,Telefonla Dağılan,491,21.7,4,0.8,73.4,0.66,3.8,0.37,0
STU_10143,LGS,8,Geceye Kayan,604,32.0,3,0.39,79.1,0.32,5.9,0.77,1
STU_10144,LGS,8,Yarıda Bırakan,290,18.9,4,0.18,35.5,0.49,5.2,0.36,0
STU_10145,LGS,8,Yarıda Bırakan,196,25.1,1,0.49,51.3,0.74,7.6,0.35,1
STU_10146,YKS_TYT_AYT,Mezun,Geceye Kayan,488,16.0,4,0.5,82.4,0.47,4.0,0.55,1
STU_10147,YKS_TYT_AYT,Mezun,Geceye Kayan,341,15.1,2,0.53,81.9,0.63,6.9,0.8,0
STU_10148,LGS,8,Telefonla Dağılan,524,36.6,4,0.37,70.3,0.5,3.2,0.59,0
STU_10149,LGS,8,Kaygıyla Erteleyen,274,25.2,1,0.79,82.0,0.71,8.2,0.49,1
STU_10150,YKS_TYT_AYT,11,Başlayamayan,168,16.4,2,0.38,47.1,0.87,6.8,0.06,0
STU_10151,LGS,8,Kaygıyla Erteleyen,231,28.7,2,0.74,59.1,0.72,8.1,0.51,0
STU_10152,LGS,8,Yarıda Bırakan,331,15.1,5,0.35,58.1,0.65,4.3,0.7,1
STU_10153,YKS_TYT_AYT,12,Başlayamayan,162,10.7,1,0.71,52.5,0.73,4.9,0.7,0
STU_10154,YKS_TYT_AYT,12,Yarıda Bırakan,345,17.8,4,0.21,58.7,0.39,4.1,0.47,1
STU_10155,LGS,8,Yarıda Bırakan,418,16.5,8,0.19,60.5,0.17,6.4,0.06,1
STU_10156,YKS_TYT_AYT,Mezun,Yarıda Bırakan,172,25.4,2,0.16,42.8,0.21,3.6,0.24,1
STU_10157,YKS_TYT_AYT,Mezun,Yarıda Bırakan,338,3.0,1,0.5,61.6,0.43,5.4,0.24,1
STU_10158,LGS,8,Başlayamayan,112,12.5,4,0.15,57.1,0.95,9.2,0.06,0
STU_10159,YKS_TYT_AYT,11,Yarıda Bırakan,278,15.1,8,0.56,54.2,0.23,5.3,0.53,1
STU_10160,LGS,8,Telefonla Dağılan,436,27.9,7,0.73,64.4,0.42,3.5,0.68,0
STU_10161,YKS_TYT_AYT,11,Yarıda Bırakan,229,8.3,1,0.61,57.8,0.7,7.4,0.14,1
STU_10162,YKS_TYT_AYT,11,Yarıda Bırakan,295,20.9,2,0.6,49.8,0.49,3.4,0.59,1
STU_10163,YKS_TYT_AYT,12,Telefonla Dağılan,675,35.0,4,0.61,64.4,0.72,3.9,0.65,1
STU_10164,LGS,8,Geceye Kayan,381,32.4,8,0.62,74.7,0.35,7.7,0.78,1
STU_10165,YKS_TYT_AYT,12,Kaygıyla Erteleyen,303,32.7,4,0.85,66.9,0.71,10.0,0.39,0
STU_10166,LGS,8,Yarıda Bırakan,281,24.3,5,0.29,46.4,0.34,3.9,0.07,1
STU_10167,LGS,8,Telefonla Dağılan,474,30.1,8,0.7,53.9,0.46,4.1,0.58,0
STU_10168,LGS,8,Başlayamayan,122,3.0,1,0.17,42.6,0.73,7.4,0.39,1
STU_10169,YKS_TYT_AYT,11,Başlayamayan,97,3.9,1,0.43,55.2,0.79,6.0,0.49,1
STU_10170,YKS_TYT_AYT,12,Yarıda Bırakan,221,19.7,5,0.63,60.3,0.32,3.0,0.42,0
STU_10171,LGS,8,Kaygıyla Erteleyen,460,33.8,2,0.91,64.6,0.81,10.0,0.14,0
STU_10172,YKS_TYT_AYT,12,Yarıda Bırakan,202,22.6,1,0.16,46.9,0.65,8.4,0.31,0
STU_10173,LGS,8,Başlayamayan,127,14.0,2,0.18,63.7,0.73,7.7,0.21,1
STU_10174,YKS_TYT_AYT,Mezun,Başlayamayan,86,13.3,2,0.33,66.7,0.56,7.3,0.26,1
STU_10175,LGS,8,Kaygıyla Erteleyen,184,33.0,2,0.49,51.8,0.91,10.0,0.19,0
STU_10176,YKS_TYT_AYT,12,Telefonla Dağılan,586,22.5,7,0.35,48.3,0.16,6.2,0.77,1
STU_10177,LGS,8,Yarıda Bırakan,200,17.4,3,0.78,58.1,0.38,8.1,0.21,0
STU_10178,YKS_TYT_AYT,Mezun,Telefonla Dağılan,465,29.4,5,0.8,63.0,0.51,4.7,0.62,0
STU_10179,LGS,8,Telefonla Dağılan,707,6.2,7,0.55,61.1,0.36,5.9,0.31,0
STU_10180,LGS,8,Telefonla Dağılan,530,19.5,7,0.23,54.0,0.09,4.6,0.29,0
STU_10181,LGS,8,Yarıda Bırakan,218,26.8,2,0.69,38.4,0.58,6.0,0.51,0
STU_10182,YKS_TYT_AYT,12,Kaygıyla Erteleyen,258,33.5,1,0.38,63.0,0.51,9.5,0.19,0
STU_10183,YKS_TYT_AYT,12,Yarıda Bırakan,241,22.8,2,0.54,44.3,0.35,5.7,0.23,0
STU_10184,LGS,8,Telefonla Dağılan,544,32.8,11,0.46,55.9,0.32,5.1,0.29,1
STU_10185,YKS_TYT_AYT,12,Başlayamayan,100,9.6,0,0.11,29.4,0.79,7.0,0.6,1
STU_10186,YKS_TYT_AYT,11,Yarıda Bırakan,164,17.8,3,0.23,63.9,0.79,5.5,0.3,0
STU_10187,YKS_TYT_AYT,12,Yarıda Bırakan,246,9.6,1,0.71,54.8,0.54,6.4,0.55,1
STU_10188,YKS_TYT_AYT,Mezun,Telefonla Dağılan,455,25.2,8,0.71,76.9,0.57,3.0,0.65,0
STU_10189,LGS,8,Başlayamayan,203,11.2,1,0.23,35.9,0.81,6.6,0.21,1
STU_10190,LGS,8,Kaygıyla Erteleyen,266,42.2,0,0.66,76.9,0.41,7.1,0.68,0
STU_10191,YKS_TYT_AYT,12,Başlayamayan,139,12.7,1,0.3,54.9,0.47,9.4,0.63,1
STU_10192,YKS_TYT_AYT,11,Telefonla Dağılan,675,23.4,3,0.75,54.9,0.59,3.7,0.73,1
STU_10193,YKS_TYT_AYT,Mezun,Kaygıyla Erteleyen,263,14.5,1,0.79,56.3,0.92,10.0,0.18,0
STU_10194,LGS,8,Telefonla Dağılan,462,24.0,5,0.72,64.2,0.63,5.6,0.44,1
STU_10195,LGS,8,Telefonla Dağılan,607,22.6,5,0.6,51.6,0.5,1.7,0.43,0
STU_10196,YKS_TYT_AYT,Mezun,Telefonla Dağılan,539,27.1,3,0.42,54.0,0.57,4.8,0.84,0
STU_10197,YKS_TYT_AYT,12,Yarıda Bırakan,287,10.0,3,0.55,54.0,0.94,5.4,0.3,0
STU_10198,YKS_TYT_AYT,12,Kaygıyla Erteleyen,267,17.1,2,0.85,75.0,0.84,9.3,0.58,0
STU_10199,YKS_TYT_AYT,11,Yarıda Bırakan,272,24.3,0,0.55,54.4,0.35,4.6,0.42,1
STU_10200,YKS_TYT_AYT,12,Telefonla Dağılan,397,27.1,5,0.75,74.2,0.27,3.7,0.43,1
STU_10201,LGS,8,Telefonla Dağılan,577,16.8,8,0.64,77.5,0.23,4.4,0.67,0
STU_10202,LGS,8,Yarıda Bırakan,192,23.4,1,0.72,43.9,0.74,4.2,0.26,0
STU_10203,YKS_TYT_AYT,12,Yarıda Bırakan,160,17.6,3,0.52,36.7,0.57,3.3,0.11,1
STU_10204,YKS_TYT_AYT,Mezun,Yarıda Bırakan,281,23.4,1,0.35,57.0,0.67,5.6,0.36,1
STU_10205,LGS,8,Kaygıyla Erteleyen,404,20.4,2,0.71,68.7,0.76,9.3,0.13,1
STU_10206,LGS,8,Geceye Kayan,618,36.8,1,0.86,80.0,0.22,5.0,0.56,0
STU_10207,YKS_TYT_AYT,12,Telefonla Dağılan,458,21.4,4,0.56,61.6,0.47,3.8,0.39,1
STU_10208,LGS,8,Telefonla Dağılan,399,19.4,7,0.62,47.7,0.39,3.7,0.39,0
STU_10209,LGS,8,Geceye Kayan,694,45.2,5,0.38,81.2,0.32,6.1,0.88,0
STU_10210,YKS_TYT_AYT,12,Başlayamayan,174,11.0,1,0.33,37.4,0.92,6.7,0.15,1
STU_10211,YKS_TYT_AYT,11,Yarıda Bırakan,260,20.4,2,0.2,48.4,0.28,3.8,0.39,0
STU_10212,YKS_TYT_AYT,12,Telefonla Dağılan,494,20.6,7,0.57,65.2,0.35,7.1,0.82,0
STU_10213,LGS,8,Kaygıyla Erteleyen,194,27.7,1,0.7,86.7,0.71,8.1,0.15,0
STU_10214,YKS_TYT_AYT,11,Kaygıyla Erteleyen,309,11.5,2,0.74,76.6,0.7,8.6,0.47,1
STU_10215,LGS,8,Yarıda Bırakan,198,15.0,3,0.51,61.6,0.49,4.2,0.72,1
STU_10216,LGS,8,Başlayamayan,121,11.6,1,0.29,47.8,0.88,9.8,0.27,0
STU_10217,YKS_TYT_AYT,12,Yarıda Bırakan,394,12.8,1,0.42,45.6,0.36,4.8,0.5,0
STU_10218,YKS_TYT_AYT,Mezun,Yarıda Bırakan,263,22.7,3,0.55,42.2,0.59,3.8,0.25,0
STU_10219,YKS_TYT_AYT,11,Yarıda Bırakan,142,20.8,4,0.27,55.0,0.34,4.1,0.08,1
STU_10220,YKS_TYT_AYT,11,Kaygıyla Erteleyen,399,28.0,2,0.8,58.9,0.82,8.0,0.36,0
STU_10221,YKS_TYT_AYT,12,Başlayamayan,140,5.6,1,0.23,43.2,0.81,6.2,0.34,1
STU_10222,LGS,8,Kaygıyla Erteleyen,343,25.6,1,0.5,63.3,0.65,8.4,0.83,0
STU_10223,LGS,8,Yarıda Bırakan,152,20.5,4,0.34,67.5,0.42,3.8,0.28,0
STU_10224,LGS,8,Telefonla Dağılan,644,19.0,5,0.59,56.7,0.44,2.5,0.1,1
STU_10225,LGS,8,Başlayamayan,121,12.1,0,0.5,37.8,0.94,6.2,0.62,0
STU_10226,YKS_TYT_AYT,Mezun,Yarıda Bırakan,163,24.9,4,0.57,68.4,0.7,6.5,0.25,1
STU_10227,LGS,8,Başlayamayan,87,11.7,0,0.27,41.4,0.9,7.0,0.24,0
STU_10228,YKS_TYT_AYT,12,Geceye Kayan,662,22.4,6,0.53,83.8,0.33,3.9,0.72,0
STU_10229,YKS_TYT_AYT,12,Kaygıyla Erteleyen,239,33.3,4,0.56,66.3,0.84,8.7,0.09,0
STU_10230,YKS_TYT_AYT,11,Yarıda Bırakan,148,20.9,1,0.65,41.9,0.17,5.0,0.23,0
STU_10231,YKS_TYT_AYT,12,Yarıda Bırakan,152,29.0,3,0.16,63.1,0.71,5.7,0.55,0
STU_10232,YKS_TYT_AYT,12,Geceye Kayan,630,40.8,4,0.17,74.6,0.17,5.9,0.91,0
STU_10233,YKS_TYT_AYT,Mezun,Yarıda Bırakan,347,18.0,2,0.87,43.7,0.45,4.7,0.31,0
STU_10234,LGS,8,Başlayamayan,185,12.4,2,0.33,55.7,0.78,4.4,0.48,1
STU_10235,YKS_TYT_AYT,12,Telefonla Dağılan,678,27.2,8,0.35,46.3,0.36,5.4,0.65,0
STU_10236,LGS,8,Geceye Kayan,498,33.5,1,0.44,77.6,0.34,2.4,0.74,0
STU_10237,LGS,8,Başlayamayan,143,7.9,0,0.26,48.1,0.35,7.5,0.25,1
STU_10238,YKS_TYT_AYT,11,Yarıda Bırakan,204,15.5,1,0.62,42.9,0.3,3.6,0.63,1
STU_10239,LGS,8,Geceye Kayan,464,35.8,5,0.52,70.9,0.41,6.1,0.89,1
